age;gender;edu_level;years_of_experience;industry;learning_preferences;weekly_study_hours;motivation;fav_animals;sweet_or_salty;fav_place;hobbies;age_cleaned;gender_cleaned;years_of_experience_cleaned;hobbies_cleaned;hobby_art;hobby_books;hobby_movies;hobby_other;hobby_sport;hobby_video_games;sweet_or_salty_cleaned;fav_animals_cleaned;learning_pref_books;learning_pref_online_courses;learning_pref_offline_courses;learning_pref_chatgpt;learning_pref_teamwork;learning_pref_personal_projects;Uczenie innych osób.;learning_pref_workshops;motivation_cleaned;Rozwój kariery;Pasja i zainteresowania;Praca i elastyczność;Tworzenie i innowacje;Rozwój umiejętności;Wynagrodzenie
Poniżej 18 lat;Kobieta;Szkoła podstawowa;0-2 lata;IT;Kursy online;5-10 godzin;;;;;;<18;1.0;0-2;[];0;0;0;0;0;0;;Brak ulubionych;0;1;0;0;0;0;0;0;[];0;0;0;0;0;0
25-34;Mężczyzna;Szkoła średnia / Technikum;11-15 lat;IT;Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty;10-15 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne;Psy;Słodkie;Morze;Gry komputerowe, Filmy / Seriale;25-34;0.0;11-15;hobby_video_games, hobby_movies;0;0;1;0;0;1;sweet;Psy;1;1;0;0;1;1;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
45-54;Mężczyzna;Magister;16 i więcej;Edukacja;Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty;10-15 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Wynagrodzenie;Psy;Słone;Las;Filmy / Seriale;45-54;0.0;>=16;hobby_movies;0;0;1;0;0;0;salty;Psy;1;1;0;0;1;1;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Szkoła średnia / Technikum;11-15 lat;;Kursy online, Warsztaty, Praca zespołowa;10-15 godzin;Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie;Koty;Słodkie;Góry;Sport, Książki, Filmy / Seriale;35-44;0.0;11-15;hobby_sport, hobby_books, hobby_movies;0;1;1;0;1;0;sweet;Koty;0;1;0;0;1;0;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
35-44;Mężczyzna;Magister;16 i więcej;Energetyka;Kursy online, Książki;5-10 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Pasja do analizy danych;Psy;Słodkie;las i jezioro;Sport, zabawy z dziećmi ;35-44;0.0;>=16;hobby_sport, hobby_other;0;0;0;1;1;0;sweet;Psy;1;1;0;0;0;0;0;0;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
25-34;Mężczyzna;Inżynier;6-10 lat;Automotvie;Kursy online, Książki;10-15 godzin;Rozwój kariery, Wyzwania intelektualne;Psy;;Las;Sport, Książki, samochody;25-34;0.0;6-10;hobby_sport, hobby_books, hobby_other;0;1;0;1;1;0;;Psy;1;1;0;0;0;0;0;0;Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
25-34;Mężczyzna;Inżynier;6-10 lat;Automatyzacja;Kursy online, Książki;5-10 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów;Koty;Słodkie;Góry;Sport, Książki, Gry komputerowe, Filmy / Seriale;25-34;0.0;6-10;hobby_sport, hobby_books, hobby_video_games, hobby_movies;0;1;1;0;1;1;sweet;Koty;1;1;0;0;0;0;0;0;Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
25-34;Mężczyzna;Magister;6-10 lat;Energetyka zawodowa;Kursy online, Książki, Samodzielne projekty;5-10 godzin;Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wynagrodzenie;;Słodkie;Góry;Mechanika pojazdowa i tuning;25-34;0.0;6-10;hobby_other;0;0;0;1;0;0;sweet;Brak ulubionych;1;1;0;0;0;1;0;0;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
45-54;Kobieta;Magister;6-10 lat;IT;Kursy online, Książki, Samodzielne projekty;5-10 godzin;Rozwój kariery, Wyzwania intelektualne;Psy;Słodkie;Góry;Sport, Książki, Sztuka;45-54;1.0;6-10;hobby_sport, hobby_books, hobby_art;1;1;0;0;1;0;sweet;Psy;1;1;0;0;0;1;0;0;Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
18-24;Mężczyzna;Szkoła średnia / Technikum;0-2 lata;;Kursy online, Warsztaty, Praca zespołowa;5-10 godzin;Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie;Koty;Słone;Góry;Sport, Gry komputerowe;18-24;0.0;0-2;hobby_sport, hobby_video_games;0;0;0;0;1;1;salty;Koty;0;1;0;0;1;0;0;1;Rozwój kariery, Rozwój kariery, Rozwój kariery, Pasja i zainteresowania, Pasja i zainteresowania, Pasja i zainteresowania, Praca i elastyczność, Praca i elastyczność, Praca i elastyczność, Tworzenie i innowacje, Tworzenie i innowacje, Tworzenie i innowacje, Rozwój umiejętności, Rozwój umiejętności, Rozwój umiejętności, Wynagrodzenie, Wynagrodzenie, Wynagrodzenie;1;1;1;1;1;1
