Timestamp,Wiek,Płeć,Poziom wykształcenia,Liczba lat doświadczenia zawodowego,Obecna branża,"Jak preferujesz się uczyć? (wybierz wszystkie, które pasują)",Ile czasu tygodniowo możesz poświęcić na naukę data science i AI?,Co najbardziej motywuje Cię do nauki data science i AI? (wybierz maks. 3),Jak zwierzęta są Twoimi ulubionymi?,Bardziej lubisz przysmaki słodkie czy słone?,Jakie jest Twoje ulubione miejsce na ziemi?,Jak spędzasz wolny czas?
7/4/2024 22:42:51,Poniżej 18 lat,Kobieta,Szkoła podstawowa,0-2 lata,IT,Kursy online,5-10 godzin,,,,,
7/6/2024 11:00:48,25-34,Mężczyzna,Szkoła średnia / Technikum,11-15 lat,IT,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",10-15 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne",Psy,Słodkie,Morze,"Gry komputerowe, Filmy / Seriale"
7/6/2024 12:20:46,45-54,Mężczyzna,Magister,16 i więcej,Edukacja,"Kursy online, Książki, Warsztaty, Praca zespołowa, Samodzielne projekty",10-15 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wyzwania intelektualne, Wynagrodzenie",Psy,Słone,Las,Filmy / Seriale
7/6/2024 18:51:25,35-44,Mężczyzna,Szkoła średnia / Technikum,11-15 lat,,"Kursy online, Warsztaty, Praca zespołowa",10-15 godzin,"Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie",Koty,Słodkie,Góry,"Sport, Książki, Filmy / Seriale"
7/6/2024 23:20:24,35-44,Mężczyzna,Magister,16 i więcej,Energetyka,"Kursy online, Książki",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Pasja do analizy danych",Psy,Słodkie,las i jezioro,"Sport, zabawy z dziećmi "
7/7/2024 11:30:38,25-34,Mężczyzna,Inżynier,6-10 lat,Automotvie,"Kursy online, Książki",10-15 godzin,"Rozwój kariery, Wyzwania intelektualne",Psy,,Las,"Sport, Książki, samochody"
7/7/2024 14:36:06,25-34,Mężczyzna,Inżynier,6-10 lat,Automatyzacja,"Kursy online, Książki",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów",Koty,Słodkie,Góry,"Sport, Książki, Gry komputerowe, Filmy / Seriale"
7/7/2024 14:41:01,25-34,Mężczyzna,Magister,6-10 lat,Energetyka zawodowa,"Kursy online, Książki, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Rozwiązywanie rzeczywistych problemów, Wynagrodzenie",,Słodkie,Góry,Mechanika pojazdowa i tuning
7/7/2024 16:26:54,45-54,Kobieta,Magister,6-10 lat,IT,"Kursy online, Książki, Samodzielne projekty",5-10 godzin,"Rozwój kariery, Wyzwania intelektualne",Psy,Słodkie,Góry,"Sport, Książki, Sztuka"
7/7/2024 18:34:34,18-24,Mężczyzna,Szkoła średnia / Technikum,0-2 lata,,"Kursy online, Warsztaty, Praca zespołowa",5-10 godzin,"Rozwój kariery, Wyzwania intelektualne, Wynagrodzenie",Koty,Słone,Góry,"Sport, Gry komputerowe"
